id,compania,ramo,tipo_comision,porcentaje,vigencia_desde,vigencia_hasta,notas,origen_archivo
0ec4d5939c536a2af75a28dcc714a670,PELAYO,Oficinas,Cartera,20.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=media; condiciones=Ramo oficinas","30784700 FINCAS VELAZQUEZ, SL.pdf"
fe3c3476012833a263e5d9630a4bc29b,PELAYO,Pymes,Nueva producción,20.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=media; condiciones=Ramo pymes","30784700 FINCAS VELAZQUEZ, SL.pdf"
b81cb7d90cefa42f20cd0c908581c799,PELAYO,Pymes,Cartera,20.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=NP/Cartera; confianza=media; condiciones=Ramo pymes","30784700 FINCAS VELAZQUEZ, SL.pdf"
6644a0c67f1b64e2ac4c4cb8a135578b,PELAYO,Comunidades Compromiso,Nueva producción,25.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=Nueva Producción; confianza=alta; condiciones=Bloque final de comisiones","30784700 FINCAS VELAZQUEZ, SL.pdf"
b673e460fef8d1bc22e07c11535f0efe,PELAYO,Comunidades Compromiso,Cartera,20.00,,,"origen=30784700 FINCAS VELAZQUEZ, SL.pdf; tipo_origen=Cartera; confianza=alta; condiciones=Bloque final de comisiones","30784700 FINCAS VELAZQUEZ, SL.pdf"
b9a927189755babd713505e7d26e9f02,REALE,Reale Contigo (Decesos) <75,Nueva producción,40.00,,,origen=ANEXO II COMISIONES.pdf; tipo_origen=Nueva Producción; confianza=alta; condiciones=Hasta edad 74,ANEXO II COMISIONES.pdf
f64ea78890e1544fa99b53f55a48174e,REALE,Reale Contigo (Decesos) <75,Cartera,20.00,,,origen=ANEXO II COMISIONES.pdf; tipo_origen=Cartera; confianza=alta; condiciones=Hasta edad 74,ANEXO II COMISIONES.pdf
36955672eb6cfda4e7de26907c7c55d3,REALE,Reale Contigo (Decesos) >=75,Nueva producción,10.00,,,origen=ANEXO II COMISIONES.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Desde 75 años,ANEXO II COMISIONES.pdf
e9e4c90f2c31de997b7f1f1a8cdce535,REALE,Reale Contigo (Decesos) >=75,Cartera,10.00,,,origen=ANEXO II COMISIONES.pdf; tipo_origen=NP/Cartera; confianza=alta; condiciones=Desde 75 años,ANEXO II COMISIONES.pdf
bfe37f089d51f4ec4f606a06382ce3e4,REALE,4104 Reale Temporal a Plazo,Nueva producción,20.00,,,origen=CONTRATO + COMISIONES VIDA.pdf; tipo_origen=Primer año; confianza=alta; condiciones=Tabla comisión total,CONTRATO + COMISIONES VIDA.pdf
5f9eedb8caf3eb2c35fc9ad9a6f347c5,REALE,4104 Reale Temporal a Plazo,Cartera,20.00,,,origen=CONTRATO + COMISIONES VIDA.pdf; tipo_origen=Años sucesivos; confianza=alta; condiciones=Tabla comisión total,CONTRATO + COMISIONES VIDA.pdf
cd4581864a9e6f0ca429a0dcc91d5019,REALE,4105 Reale Vida Global,Nueva producción,25.00,,,origen=CONTRATO + COMISIONES VIDA.pdf; tipo_origen=Primer año; confianza=alta; condiciones=Tabla comisión total,CONTRATO + COMISIONES VIDA.pdf
b76251886e8f3679e907bf35e31e6688,REALE,4105 Reale Vida Global,Cartera,25.00,,,origen=CONTRATO + COMISIONES VIDA.pdf; tipo_origen=Años sucesivos; confianza=alta; condiciones=Tabla comisión total,CONTRATO + COMISIONES VIDA.pdf
6016751c26898fc5a23a6c9e3669a6cb,REALE,4107 Reale Vida Esencia II,Nueva producción,25.00,,,origen=CONTRATO + COMISIONES VIDA.pdf; tipo_origen=Primer año; confianza=alta; condiciones=Tabla comisión total,CONTRATO + COMISIONES VIDA.pdf
077179d32ce5608ff9a93de3a303e9a3,REALE,4107 Reale Vida Esencia II,Cartera,25.00,,,origen=CONTRATO + COMISIONES VIDA.pdf; tipo_origen=Años sucesivos; confianza=alta; condiciones=Tabla comisión total,CONTRATO + COMISIONES VIDA.pdf
5521e699e29a2c5dfc1bde2a9ce9d616,REALE,4109 Reale Temporal a Plazo PU,Nueva producción,20.00,,,origen=CONTRATO + COMISIONES VIDA.pdf; tipo_origen=Primer año; confianza=alta; condiciones=Tabla comisión total,CONTRATO + COMISIONES VIDA.pdf
44d1910cee9c2a1e9c4b5ce18ea8754a,REALE,4109 Reale Temporal a Plazo PU,Cartera,0.00,,,origen=CONTRATO + COMISIONES VIDA.pdf; tipo_origen=Años sucesivos; confianza=alta; condiciones=Tabla comisión total,CONTRATO + COMISIONES VIDA.pdf
14f844ed2ad23576b74c15b209565953,EXSEL,General colaboración,General,17.50,,,origen=CARTA DE CONDICIONES formulario V1024.pdf; tipo_origen=Sobre prima neta; confianza=alta; condiciones=Texto literal de condiciones,CARTA DE CONDICIONES formulario V1024.pdf
6c4c16721d9af153d3154394c47c2ca0,EXSEL,C044 Catalana Occidente Arquitecto Sociedades,Producto,20.00,,,origen=CARTA DE CONDICIONES formulario V1024.pdf; tipo_origen=Producto; confianza=alta; condiciones=Tabla anexo,CARTA DE CONDICIONES formulario V1024.pdf
9c1410dc6caf5458e6faba0a82552a7e,EXSEL,R400 Escudo Ciber,Producto,20.00,,,origen=CARTA DE CONDICIONES formulario V1024.pdf; tipo_origen=Producto; confianza=alta; condiciones=Tabla anexo,CARTA DE CONDICIONES formulario V1024.pdf
6d2f3630dff8bb827152d60c55dd160c,EXSEL,Great American Seguro Objetos y Bienes,Producto,20.00,,,origen=CARTA DE CONDICIONES formulario V1024.pdf; tipo_origen=Producto; confianza=alta; condiciones=Tabla anexo,CARTA DE CONDICIONES formulario V1024.pdf
bb3af9c4dd74e59f331e2cd3e799d81e,EXSEL,R555 Insurance Europe RC General,Producto,20.00,,,origen=CARTA DE CONDICIONES formulario V1024.pdf; tipo_origen=Producto; confianza=alta; condiciones=Tabla anexo,CARTA DE CONDICIONES formulario V1024.pdf
cfee300fd8b38882902494a13ee17461,SANTA LUCIA,Cláusula mediador,Variable,15.00,,,"origen=6179 FINCAS VELAZQUEZ, S.L[80].pdf; tipo_origen=Variable; confianza=media; condiciones=Indica que puede variar entre 0 y 15%","6179 FINCAS VELAZQUEZ, S.L[80].pdf"
